,country,year,cases,sex,age
75003,AD,1996,0.0,f,0-14
80772,AD,1996,1.0,f,15-24
86541,AD,1996,1.0,f,25-34
92310,AD,1996,0.0,f,35-44
98079,AD,1996,0.0,f,45-54
103848,AD,1996,1.0,f,55-64
17313,AD,1996,0.0,m,0-14
23082,AD,1996,0.0,m,15-24
28851,AD,1996,0.0,m,25-34
34620,AD,1996,4.0,m,35-44
40389,AD,1996,1.0,m,45-54
46158,AD,1996,0.0,m,55-64
75004,AD,1997,0.0,f,0-14
80773,AD,1997,1.0,f,15-24
86542,AD,1997,2.0,f,25-34
92311,AD,1997,3.0,f,35-44
98080,AD,1997,0.0,f,45-54
103849,AD,1997,0.0,f,55-64
17314,AD,1997,0.0,m,0-14
23083,AD,1997,0.0,m,15-24
28852,AD,1997,1.0,m,25-34
34621,AD,1997,2.0,m,35-44
40390,AD,1997,2.0,m,45-54
46159,AD,1997,1.0,m,55-64
17315,AD,1998,0.0,m,0-14
23084,AD,1998,0.0,m,15-24
28853,AD,1998,0.0,m,25-34
34622,AD,1998,1.0,m,35-44
40391,AD,1998,0.0,m,45-54
46160,AD,1998,0.0,m,55-64
75006,AD,1999,0.0,f,0-14
80775,AD,1999,0.0,f,15-24
86544,AD,1999,0.0,f,25-34
92313,AD,1999,1.0,f,35-44
98082,AD,1999,0.0,f,45-54
103851,AD,1999,0.0,f,55-64
17316,AD,1999,0.0,m,0-14
23085,AD,1999,0.0,m,15-24
28854,AD,1999,0.0,m,25-34
34623,AD,1999,1.0,m,35-44
40392,AD,1999,1.0,m,45-54
46161,AD,1999,0.0,m,55-64
17317,AD,2000,0.0,m,0-14
23086,AD,2000,0.0,m,15-24
28855,AD,2000,1.0,m,25-34
34624,AD,2000,0.0,m,35-44
40393,AD,2000,0.0,m,45-54
46162,AD,2000,0.0,m,55-64
17318,AD,2001,0.0,m,0-14
34625,AD,2001,2.0,m,35-44
40394,AD,2001,1.0,m,45-54
75009,AD,2002,0.0,f,0-14
80778,AD,2002,1.0,f,15-24
86547,AD,2002,0.0,f,25-34
92316,AD,2002,0.0,f,35-44
98085,AD,2002,0.0,f,45-54
103854,AD,2002,0.0,f,55-64
17319,AD,2002,0.0,m,0-14
23088,AD,2002,0.0,m,15-24
28857,AD,2002,0.0,m,25-34
34626,AD,2002,1.0,m,35-44
40395,AD,2002,0.0,m,45-54
46164,AD,2002,0.0,m,55-64
75010,AD,2003,0.0,f,0-14
80779,AD,2003,1.0,f,15-24
86548,AD,2003,1.0,f,25-34
92317,AD,2003,1.0,f,35-44
98086,AD,2003,0.0,f,45-54
103855,AD,2003,0.0,f,55-64
17320,AD,2003,0.0,m,0-14
23089,AD,2003,0.0,m,15-24
28858,AD,2003,0.0,m,25-34
34627,AD,2003,1.0,m,35-44
40396,AD,2003,2.0,m,45-54
46165,AD,2003,0.0,m,55-64
75011,AD,2004,0.0,f,0-14
80780,AD,2004,0.0,f,15-24
86549,AD,2004,1.0,f,25-34
92318,AD,2004,0.0,f,35-44
98087,AD,2004,0.0,f,45-54
103856,AD,2004,0.0,f,55-64
17321,AD,2004,0.0,m,0-14
23090,AD,2004,0.0,m,15-24
28859,AD,2004,0.0,m,25-34
34628,AD,2004,1.0,m,35-44
40397,AD,2004,1.0,m,45-54
46166,AD,2004,0.0,m,55-64
75012,AD,2005,0.0,f,0-14
80781,AD,2005,1.0,f,15-24
86550,AD,2005,1.0,f,25-34
92319,AD,2005,1.0,f,35-44
98088,AD,2005,0.0,f,45-54
69243,AD,2005,0.0,f,5-14
103857,AD,2005,0.0,f,55-64
17322,AD,2005,0.0,m,0-14
23091,AD,2005,0.0,m,15-24
28860,AD,2005,1.0,m,25-34
34629,AD,2005,1.0,m,35-44
40398,AD,2005,0.0,m,45-54
11553,AD,2005,0.0,m,5-14
46167,AD,2005,0.0,m,55-64
75013,AD,2006,0.0,f,0-14
80782,AD,2006,0.0,f,15-24
86551,AD,2006,1.0,f,25-34
92320,AD,2006,0.0,f,35-44
98089,AD,2006,1.0,f,45-54
69244,AD,2006,0.0,f,5-14
103858,AD,2006,0.0,f,55-64
17323,AD,2006,0.0,m,0-14
23092,AD,2006,1.0,m,15-24
28861,AD,2006,1.0,m,25-34
34630,AD,2006,2.0,m,35-44
40399,AD,2006,0.0,m,45-54
11554,AD,2006,0.0,m,5-14
46168,AD,2006,1.0,m,55-64
86552,AD,2007,1.0,f,25-34
98090,AD,2007,1.0,f,45-54
75015,AD,2008,0.0,f,0-14
80784,AD,2008,0.0,f,15-24
86553,AD,2008,0.0,f,25-34
92322,AD,2008,1.0,f,35-44
98091,AD,2008,1.0,f,45-54
69246,AD,2008,0.0,f,5-14
103860,AD,2008,0.0,f,55-64
17325,AD,2008,0.0,m,0-14
23094,AD,2008,0.0,m,15-24
28863,AD,2008,0.0,m,25-34
34632,AD,2008,0.0,m,35-44
40401,AD,2008,1.0,m,45-54
11556,AD,2008,0.0,m,5-14
46170,AD,2008,0.0,m,55-64
75032,AE,1999,9.0,f,0-14
80801,AE,1999,11.0,f,15-24
86570,AE,1999,5.0,f,25-34
92339,AE,1999,3.0,f,35-44
98108,AE,1999,0.0,f,45-54
103877,AE,1999,3.0,f,55-64
17342,AE,1999,4.0,m,0-14
23111,AE,1999,9.0,m,15-24
28880,AE,1999,3.0,m,25-34
34649,AE,1999,2.0,m,35-44
40418,AE,1999,4.0,m,45-54
46187,AE,1999,6.0,m,55-64
75033,AE,2000,3.0,f,0-14
80802,AE,2000,16.0,f,15-24
86571,AE,2000,1.0,f,25-34
92340,AE,2000,3.0,f,35-44
98109,AE,2000,0.0,f,45-54
103878,AE,2000,0.0,f,55-64
17343,AE,2000,2.0,m,0-14
23112,AE,2000,4.0,m,15-24
28881,AE,2000,4.0,m,25-34
34650,AE,2000,6.0,m,35-44
40419,AE,2000,5.0,m,45-54
46188,AE,2000,12.0,m,55-64
75035,AE,2002,3.0,f,0-14
80804,AE,2002,3.0,f,15-24
86573,AE,2002,8.0,f,25-34
92342,AE,2002,3.0,f,35-44
98111,AE,2002,4.0,f,45-54
103880,AE,2002,10.0,f,55-64
17345,AE,2002,1.0,m,0-14
23114,AE,2002,2.0,m,15-24
28883,AE,2002,0.0,m,25-34
34652,AE,2002,6.0,m,35-44
40421,AE,2002,6.0,m,45-54
46190,AE,2002,10.0,m,55-64
75036,AE,2003,4.0,f,0-14
80805,AE,2003,9.0,f,15-24
86574,AE,2003,5.0,f,25-34
92343,AE,2003,3.0,f,35-44
98112,AE,2003,3.0,f,45-54
103881,AE,2003,2.0,f,55-64
17346,AE,2003,2.0,m,0-14
23115,AE,2003,10.0,m,15-24
28884,AE,2003,8.0,m,25-34
34653,AE,2003,12.0,m,35-44
40422,AE,2003,3.0,m,45-54
46191,AE,2003,2.0,m,55-64
75037,AE,2004,3.0,f,0-14
80806,AE,2004,6.0,f,15-24
